closingDate,contractSize,contractLength,contractID,paymentDate
2013/01/15,50.0,3,DKU-6pe54x-0001,2013/03/28
2013/01/16,130.0,2,DKU-23wujr-0001,2013/05/05
2013/01/16,60.0,1,DKU-lgdfq1-0001,2013/03/30
2013/01/19,65.0,1,DKU-q97sf4-0001,2013/05/10
2013/01/19,75.0,3,DKU-ls14xe-0001,2013/04/20
2013/01/19,100.0,2,DKU-y73mb9-0001,2013/05/05
2013/01/22,50.0,2,DKU-oi2bsg-0001,2013/05/27
2013/01/22,50.0,1,DKU-4x5cf0-0001,2013/05/21
2013/01/23,50.0,2,DKU-kyahcd-0001,2013/04/20
2013/01/23,50.0,2,DKU-fahx8f-0001,2013/04/02
2013/01/23,65.0,2,DKU-w992xs-0001,2013/05/06
2013/01/23,65.0,1,DKU-ohe518-0001,2013/04/22
2013/01/23,130.0,3,DKU-4c1zsi-0001,2013/04/20
2013/01/24,115.0,1,DKU-a7bi6t-0001,2013/03/24
2013/01/24,70.0,2,DKU-g1p2v7-0001,2013/04/09
2013/01/24,100.0,1,DKU-h1kpaw-0001,2013/05/03
2013/01/25,55.0,3,DKU-6bn0l3-0001,2013/05/14
2013/01/25,60.0,2,DKU-ndxqb7-0001,2013/05/08
2013/01/25,245.0,1,DKU-q8xa3f-0001,2013/05/03
2013/01/25,90.0,2,DKU-gcsij3-0001,2013/04/12
2013/01/26,190.0,1,DKU-swks4i-0001,2013/04/26
2013/01/26,220.0,2,DKU-wal9qi-0001,2013/05/05
2013/01/26,50.0,3,DKU-4da77p-0001,2013/04/11
2013/01/27,115.0,2,DKU-8q5hwk-0001,2013/05/18
2013/01/27,75.0,1,DKU-wv69ye-0001,2013/05/25
2013/01/27,65.0,2,DKU-qulpy4-0001,2013/04/14
2013/01/28,65.0,2,DKU-080eg4-0001,2013/05/12
2013/01/28,65.0,3,DKU-ymuho2-0001,2013/05/02
2013/02/02,85.0,2,DKU-16wtty-0001,2013/04/08
2013/02/02,170.0,1,DKU-o2ujx3-0001,2013/05/13
2013/02/03,115.0,2,DKU-7c5d05-0001,2013/05/17
2013/02/03,205.0,3,DKU-dbszu1-0001,2013/04/26
2013/02/04,55.0,2,DKU-4o73xp-0001,2013/05/13
2013/02/05,60.0,1,DKU-15icpq-0001,2013/05/29
2013/02/05,60.0,1,DKU-yaq8bn-0001,2013/05/14
2013/02/05,215.0,3,DKU-nrkosl-0001,2013/05/14
2013/02/05,80.0,3,DKU-xu0xho-0001,2013/05/11
2013/02/06,120.0,3,DKU-s5z2go-0001,2013/04/16
2013/02/06,320.0,1,DKU-ma43nv-0001,2013/05/25
2013/02/08,55.0,2,DKU-92jr77-0001,2013/06/17
2013/02/08,175.0,3,DKU-q8fnv5-0001,2013/06/04
2013/02/09,70.0,2,DKU-igab5s-0001,2013/05/08
2013/02/09,160.0,2,DKU-34z38w-0001,2013/05/14
2013/02/09,200.0,1,DKU-z3vtcj-0001,2013/05/17
2013/02/09,130.0,1,DKU-4t80ie-0001,2013/04/19
2013/02/09,65.0,2,DKU-24uy3f-0001,2013/06/04
2013/02/09,105.0,2,DKU-nl5lsm-0001,2013/05/06
2013/02/09,190.0,1,DKU-uew9rb-0001,2013/04/15
2013/02/10,60.0,3,DKU-2mmu5p-0001,2013/05/16
2013/02/10,50.0,1,DKU-bqvgdo-0001,2013/05/12
2013/02/10,100.0,2,DKU-3vw68v-0001,2013/06/02
2013/02/11,120.0,3,DKU-imc478-0001,2013/05/09
2013/02/11,130.0,2,DKU-gy2ait-0001,2013/05/29
2013/02/11,110.0,3,DKU-jf67ln-0001,2013/05/31
2013/02/11,225.0,3,DKU-n2hr59-0001,2013/05/21
2013/02/11,165.0,3,DKU-k1ssa1-0001,2013/05/27
2013/02/13,50.0,2,DKU-ntg2yh-0001,2013/05/03
2013/02/13,60.0,3,DKU-x1dlxz-0001,2013/06/23
2013/02/14,200.0,2,DKU-4954u5-0001,2013/05/01
2013/02/16,355.0,1,DKU-0yoz43-0001,2013/05/16
2013/02/17,50.0,2,DKU-8uoxqe-0001,2013/07/06
2013/02/17,50.0,2,DKU-ndr80a-0001,2013/05/16
2013/02/17,105.0,1,DKU-uoqmeo-0001,2013/05/02
2013/02/17,230.0,3,DKU-wdpe2b-0001,2013/05/23
2013/02/18,50.0,3,DKU-jn7lqr-0001,2013/05/06
2013/02/18,125.0,3,DKU-pb8yzm-0001,2013/06/05
2013/02/18,65.0,1,DKU-8o0b9r-0001,2013/06/12
2013/02/20,160.0,2,DKU-11mh0k-0001,2013/06/01
2013/02/21,70.0,2,DKU-1z8gqi-0001,2013/05/25
2013/02/22,50.0,2,DKU-rtf5q2-0001,2013/06/03
2013/02/22,70.0,3,DKU-lg3r25-0001,2013/05/21
2013/02/22,85.0,2,DKU-ocp0dd-0001,2013/05/08
2013/02/23,80.0,1,DKU-2w3xjz-0001,2013/05/08
2013/02/25,60.0,2,DKU-5cuy72-0001,2013/06/07
2013/02/25,70.0,3,DKU-jccpxb-0001,2013/05/29
2013/02/25,190.0,2,DKU-g5zj1y-0001,2013/06/12
2013/02/26,140.0,2,DKU-7v3amp-0001,2013/05/28
2013/02/27,150.0,2,DKU-psky93-0001,2013/05/22
2013/02/27,290.0,2,DKU-wnftxb-0001,2013/05/30
2013/02/27,50.0,1,DKU-hvh0is-0001,2013/05/20
2013/02/27,205.0,3,DKU-exayb1-0001,2013/06/18
2013/02/28,115.0,3,DKU-1khk2u-0001,2013/05/26
2013/02/28,50.0,2,DKU-8nyeu2-0001,2013/06/05
2013/02/28,260.0,2,DKU-bervrl-0001,2013/06/17
2013/03/01,120.0,1,DKU-guib1f-0001,2013/06/19
2013/03/02,155.0,2,DKU-pol0f6-0001,2013/07/07
2013/03/02,90.0,2,DKU-figh46-0001,2013/06/11
2013/03/03,70.0,1,DKU-v3lgyc-0001,2013/06/23
2013/03/03,205.0,2,DKU-dr1g7j-0001,2013/06/12
2013/03/03,105.0,3,DKU-9bgfxe-0001,2013/06/25
2013/03/03,95.0,1,DKU-1lyx2r-0001,2013/05/09
2013/03/04,100.0,3,DKU-nr0vt6-0001,2013/06/29
2013/03/04,60.0,1,DKU-b8gy04-0001,2013/06/19
2013/03/05,55.0,3,DKU-mac63g-0001,2013/06/29
2013/03/05,185.0,1,DKU-g60sbm-0001,2013/06/04
2013/03/06,85.0,2,DKU-szxe9t-0001,2013/05/18
2013/03/08,75.0,1,DKU-4hcsfq-0001,2013/06/14
2013/03/08,155.0,3,DKU-v8s7s6-0001,2013/05/24
2013/03/09,130.0,3,DKU-6nrwzq-0001,2013/06/08
2013/03/10,335.0,2,DKU-d79p6e-0001,2013/05/18
2013/03/10,50.0,3,DKU-4tr3sf-0001,2013/06/01
2013/03/10,150.0,3,DKU-4rhpox-0001,2013/05/26
2013/03/11,75.0,1,DKU-bi4dr7-0001,2013/06/10
2013/03/11,70.0,1,DKU-ov99oz-0001,2013/06/20
2013/03/11,75.0,3,DKU-9lzuqw-0001,2013/06/30
2013/03/12,85.0,2,DKU-c12hph-0001,2013/07/20
2013/03/12,50.0,2,DKU-tpf3tb-0001,2013/06/17
2013/03/12,65.0,3,DKU-9g7hc5-0001,2013/05/16
2013/03/12,60.0,1,DKU-bviynh-0001,2013/06/27
2013/03/16,240.0,2,DKU-v59pcj-0001,2013/05/31
2013/03/16,105.0,3,DKU-md39xr-0001,2013/07/06
2013/03/17,50.0,3,DKU-r41if0-0001,2013/05/27
2013/03/18,55.0,2,DKU-wcfgpp-0001,2013/06/14
2013/03/18,50.0,3,DKU-5k5iuo-0001,2013/06/17
2013/03/18,80.0,1,DKU-ictklk-0001,2013/06/16
2013/03/18,145.0,3,DKU-6mbrwl-0001,2013/07/01
2013/03/19,50.0,2,DKU-5e4zwc-0001,2013/07/05
2013/03/21,115.0,1,DKU-l5uari-0001,2013/07/22
2013/03/21,125.0,2,DKU-s4f6vp-0001,2013/07/14
2013/03/24,80.0,2,DKU-ahxtwx-0001,2013/06/29
2013/03/24,50.0,1,DKU-shpg7c-0001,2013/07/26
2013/03/24,155.0,3,DKU-vjecoz-0001,2013/07/11
2013/03/25,105.0,1,DKU-5au5w9-0001,2013/05/22
2013/03/27,105.0,3,DKU-0968v7-0001,2013/07/15
2013/03/27,170.0,3,DKU-p5jit3-0001,2013/07/04
2013/03/27,125.0,2,DKU-yjry4k-0001,2013/06/18
2013/03/28,50.0,1,DKU-exgog1-0001,2013/06/13
2013/03/28,90.0,2,DKU-2212j9-0001,2013/06/11
2013/03/28,255.0,2,DKU-84542o-0001,2013/07/03
2013/04/02,150.0,1,DKU-u0suyb-0001,2013/07/25
2013/04/03,100.0,3,DKU-4aic44-0001,2013/07/11
2013/04/03,50.0,3,DKU-vrwnm1-0001,2013/06/25
2013/04/03,85.0,1,DKU-lz3x28-0001,2013/06/01
2013/04/03,100.0,1,DKU-49o506-0001,2013/07/26
2013/04/04,55.0,1,DKU-jbdt2a-0001,2013/07/25
2013/04/04,90.0,2,DKU-9rjmpo-0001,2013/08/06
2013/04/04,85.0,1,DKU-qmiib3-0001,2013/07/17
2013/04/04,165.0,2,DKU-51z4cc-0001,2013/07/26
2013/04/05,95.0,3,DKU-976s1l-0001,2013/06/21
2013/04/05,115.0,1,DKU-7b31ko-0001,2013/07/11
2013/04/05,155.0,1,DKU-abw1eo-0001,2013/06/17
2013/04/06,150.0,3,DKU-76oc41-0001,2013/06/13
2013/04/07,85.0,1,DKU-g13lsf-0001,2013/06/29
2013/04/08,70.0,1,DKU-oln4t3-0001,2013/07/30
2013/04/08,80.0,3,DKU-9do1dt-0001,2013/07/08
2013/04/08,175.0,2,DKU-x50ccf-0001,2013/07/19
2013/04/08,50.0,1,DKU-u3uabf-0001,2013/06/24
2013/04/08,145.0,1,DKU-d140rg-0001,2013/08/17
2013/04/08,90.0,3,DKU-joh2m4-0001,2013/07/25
2013/04/09,95.0,3,DKU-32xgfl-0001,2013/06/28
2013/04/09,50.0,1,DKU-zuzmxe-0001,2013/07/31
2013/04/09,105.0,1,DKU-6rjy1h-0001,2013/08/04
2013/04/09,50.0,3,DKU-2d7t4q-0001,2013/07/15
2013/04/10,50.0,1,DKU-ltlon4-0001,2013/07/16
2013/04/11,85.0,2,DKU-mrvs6s-0001,2013/05/29
2013/04/11,220.0,3,DKU-5d9gke-0001,2013/07/05
2013/04/12,75.0,3,DKU-c19urs-0001,2013/07/10
2013/04/12,75.0,3,DKU-ivlxhd-0001,2013/07/06
2013/04/13,55.0,3,DKU-48up6d-0001,2013/06/26
2013/04/13,100.0,1,DKU-i74h4q-0001,2013/07/09
2013/04/15,125.0,1,DKU-gmjp8n-0001,2013/07/29
2013/04/15,280.0,2,DKU-t7w9ze-0001,2013/08/10
2013/04/16,75.0,1,DKU-dhsopp-0001,2013/07/23
2013/04/18,85.0,1,DKU-ubpel9-0001,2013/06/30
2013/04/19,315.0,2,DKU-us2nmd-0001,2013/08/29
2013/04/20,115.0,2,DKU-if9d2q-0001,2013/08/04
2013/04/20,85.0,1,DKU-q8d3e7-0001,2013/07/21
2013/04/21,60.0,2,DKU-354dhw-0001,2013/06/22
2013/04/21,80.0,3,DKU-4a40xk-0001,2013/08/10
2013/04/22,180.0,1,DKU-hbhll5-0001,2013/07/22
2013/04/23,50.0,3,DKU-jgp1ww-0001,2013/08/03
2013/04/23,90.0,2,DKU-d0xye8-0001,2013/09/04
2013/04/24,195.0,1,DKU-k6fy9y-0001,2013/06/28
2013/04/24,65.0,2,DKU-9wmgxn-0001,2013/07/22
2013/04/24,50.0,2,DKU-jiatd3-0001,2013/08/03
2013/04/24,50.0,1,DKU-mfw5w5-0001,2013/07/23
2013/04/25,50.0,2,DKU-xxljha-0001,2013/07/28
2013/04/25,80.0,1,DKU-jrkymt-0001,2013/09/06
2013/04/25,165.0,2,DKU-7ecpyy-0001,2013/07/26
2013/04/26,155.0,3,DKU-49kgt7-0001,2013/08/05
2013/04/27,50.0,3,DKU-3b5kby-0001,2013/06/26
2013/04/28,85.0,2,DKU-r31i4s-0001,2013/08/20
2013/04/28,75.0,1,DKU-cech9s-0001,2013/08/04
2013/04/28,60.0,1,DKU-ja2wga-0001,2013/07/19
2013/04/28,160.0,1,DKU-578x40-0001,2013/08/04
2013/04/28,80.0,2,DKU-wn0fpi-0001,2013/08/13
2013/05/01,175.0,1,DKU-0nrmbg-0001,2013/07/25
2013/05/01,145.0,1,DKU-q6hkty-0001,2013/08/07
2013/05/01,70.0,1,DKU-3xirbk-0001,2013/07/14
2013/05/02,320.0,1,DKU-3m9ltn-0001,2013/08/17
2013/05/02,115.0,2,DKU-n7ggpv-0001,2013/07/25
2013/05/02,55.0,1,DKU-km6vnd-0001,2013/07/05
2013/05/02,50.0,2,DKU-xeux4w-0001,2013/06/17
2013/05/03,60.0,2,DKU-hl0yu6-0001,2013/07/26
2013/05/05,105.0,3,DKU-v0y4qr-0001,2013/07/10
2013/05/05,60.0,2,DKU-kchsr3-0001,2013/08/06
2013/05/06,65.0,2,DKU-3oy2wf-0001,2013/09/10
2013/05/06,60.0,3,DKU-fwpls3-0001,2013/08/15
2013/05/07,65.0,2,DKU-wiqpqx-0001,2013/08/04
2013/05/08,50.0,2,DKU-vdapch-0001,2013/08/01
2013/05/08,150.0,3,DKU-p69je6-0001,2013/09/06
2013/05/08,95.0,2,DKU-f6vmf8-0001,2013/07/29
2013/05/08,85.0,1,DKU-ovg1lt-0001,2013/08/07
2013/05/09,50.0,1,DKU-eezr79-0001,2013/08/21
2013/05/12,200.0,1,DKU-qs7nss-0001,2013/09/08
2013/05/12,85.0,1,DKU-k3fmrm-0001,2013/08/19
2013/05/12,120.0,3,DKU-63c1xx-0001,2013/08/27
2013/05/13,100.0,2,DKU-m0h7ru-0001,2013/08/12
2013/05/13,80.0,1,DKU-f145w1-0001,2013/08/28
2013/05/14,295.0,1,DKU-tmxsi8-0001,2013/08/24
2013/05/15,120.0,1,DKU-qf1hn5-0001,2013/08/11
2013/05/16,75.0,1,DKU-prmxqn-0001,2013/08/08
2013/05/16,90.0,3,DKU-6d4ihb-0001,2013/09/17
2013/05/17,50.0,3,DKU-8fi0xg-0001,2013/08/01
2013/05/17,115.0,2,DKU-2cppke-0001,2013/07/22
2013/05/18,100.0,1,DKU-fpk63w-0001,2013/08/26
2013/05/19,55.0,2,DKU-zr9tze-0001,2013/08/11
2013/05/19,50.0,3,DKU-qvyy5g-0001,2013/08/19
2013/05/19,90.0,1,DKU-rn7j09-0001,2013/08/12
2013/05/19,225.0,2,DKU-6opyu1-0001,2013/07/26
2013/05/20,50.0,2,DKU-ymtwtq-0001,2013/09/15
2013/05/20,65.0,1,DKU-4sduij-0001,2013/09/20
2013/05/22,325.0,3,DKU-804bk1-0001,2013/09/11
2013/05/22,125.0,3,DKU-25kyao-0001,2013/08/28
2013/05/24,50.0,3,DKU-uw6pqz-0001,2013/08/18
2013/05/24,85.0,1,DKU-mfro0z-0001,2013/08/18
2013/05/25,50.0,1,DKU-zsheeh-0001,2013/09/08
2013/05/25,105.0,3,DKU-cdr2yz-0001,2013/09/09
2013/05/25,210.0,2,DKU-yzpl5w-0001,2013/10/06
2013/05/26,100.0,3,DKU-x9kcax-0001,2013/09/30
2013/05/26,170.0,1,DKU-b8pmuw-0001,2013/08/28
2013/05/28,95.0,2,DKU-4g7bz5-0001,2013/08/18
2013/05/28,60.0,2,DKU-xqb4cf-0001,2013/08/09
2013/05/28,60.0,1,DKU-zipci2-0001,2013/09/20
2013/05/28,50.0,3,DKU-ot719k-0001,2013/08/08
2013/06/01,165.0,2,DKU-n8as0s-0001,2013/08/14
2013/06/01,230.0,2,DKU-o1js7x-0001,2013/09/07
2013/06/02,100.0,2,DKU-krbol3-0001,2013/09/30
2013/06/02,150.0,1,DKU-md18c8-0001,2013/09/28
2013/06/02,50.0,2,DKU-7ufrk7-0001,2013/08/13
2013/06/03,165.0,3,DKU-bbw3ng-0001,2013/08/05
2013/06/03,55.0,3,DKU-lt69ik-0001,2013/09/11
2013/06/03,60.0,1,DKU-fe2icd-0001,2013/08/04
2013/06/04,80.0,2,DKU-3qd0ga-0001,2013/08/15
2013/06/04,50.0,3,DKU-unjht8-0001,2013/09/23
2013/06/04,55.0,1,DKU-2mpgbq-0001,2013/09/13
2013/06/04,385.0,2,DKU-7nuw90-0001,2013/09/18
2013/06/05,65.0,3,DKU-02d9pe-0001,2013/09/18
2013/06/05,80.0,1,DKU-yitwus-0001,2013/09/04
2013/06/05,160.0,2,DKU-iyyb0z-0001,2013/08/30
2013/06/07,120.0,2,DKU-dtfngg-0001,2013/09/13
2013/06/07,80.0,1,DKU-oml0iu-0001,2013/09/29
2013/06/08,50.0,1,DKU-t509sv-0001,2013/09/03
2013/06/10,300.0,2,DKU-y53q90-0001,2013/07/28
2013/06/11,85.0,3,DKU-h7buii-0001,2013/10/19
2013/06/12,195.0,2,DKU-isw1mo-0001,2013/10/06
2013/06/12,65.0,1,DKU-57bfyk-0001,2013/08/24
2013/06/12,50.0,2,DKU-et0u9w-0001,2013/09/23
2013/06/14,50.0,3,DKU-ku4o9e-0001,2013/08/30
2013/06/14,85.0,3,DKU-okgr5k-0001,2013/09/11
2013/06/14,115.0,1,DKU-2bgmup-0001,2013/09/24
2013/06/17,50.0,3,DKU-ncmb2s-0001,2013/09/16
2013/06/17,105.0,3,DKU-ovnifg-0001,2013/09/15
2013/06/18,80.0,1,DKU-havs0g-0001,2013/10/20
2013/06/19,100.0,2,DKU-kthlzg-0001,2013/09/24
2013/06/20,235.0,2,DKU-xdpuku-0001,2013/09/23
2013/06/20,90.0,1,DKU-d03dzi-0001,2013/10/22
2013/06/20,50.0,2,DKU-hkfnw1-0001,2013/09/13
2013/06/21,110.0,1,DKU-i1dx4k-0001,2013/10/07
2013/06/21,150.0,2,DKU-o0xrar-0001,2013/10/02
2013/06/22,85.0,1,DKU-ocdkie-0001,2013/09/03
2013/06/22,95.0,2,DKU-0em20m-0001,2013/09/26
2013/06/22,85.0,1,DKU-lq4p18-0001,2013/08/30
2013/06/23,195.0,3,DKU-n7oyss-0001,2013/09/03
2013/06/23,140.0,2,DKU-aajb8n-0001,2013/08/14
2013/06/26,95.0,1,DKU-070y6v-0001,2013/08/27
2013/06/27,55.0,2,DKU-kfh4ig-0001,2013/09/03
2013/06/27,145.0,3,DKU-l0jowg-0001,2013/10/22
2013/07/02,85.0,2,DKU-0cy1pq-0001,2013/10/19
2013/07/02,50.0,1,DKU-9hs9ls-0001,2013/10/22
2013/07/02,140.0,2,DKU-ve2nn5-0001,2013/10/10
2013/07/03,50.0,3,DKU-61xsnd-0001,2013/11/06
2013/07/04,95.0,2,DKU-cqm4ok-0001,2013/10/25
2013/07/04,100.0,2,DKU-gzvg83-0001,2013/09/18
2013/07/04,180.0,2,DKU-yxs626-0001,2013/10/15
2013/07/04,50.0,1,DKU-la70oj-0001,2013/09/30
2013/07/05,75.0,2,DKU-pnrk2a-0001,2013/09/28
2013/07/06,50.0,3,DKU-6hyyzm-0001,2013/10/27
2013/07/08,100.0,1,DKU-xcozxs-0001,2013/10/07
2013/07/08,270.0,3,DKU-8mlta1-0001,2013/10/13
2013/07/09,75.0,1,DKU-a2v1o7-0001,2013/10/28
2013/07/09,270.0,3,DKU-vl2jh5-0001,2013/10/26
2013/07/11,95.0,3,DKU-44ic8a-0001,2013/09/25
2013/07/12,80.0,1,DKU-p9k8cc-0001,2013/10/06
2013/07/12,75.0,1,DKU-aj8tha-0001,2013/10/01
2013/07/12,95.0,1,DKU-nvsmd3-0001,2013/10/07
2013/07/12,50.0,3,DKU-omtqhl-0001,2013/09/22
2013/07/13,70.0,3,DKU-xfld42-0001,2013/09/24
2013/07/13,105.0,3,DKU-uqlz8g-0001,2013/10/11
2013/07/13,215.0,2,DKU-5p4enp-0001,2013/09/19
2013/07/14,50.0,1,DKU-q8xt2l-0001,2013/10/21
2013/07/14,140.0,3,DKU-3xiilc-0001,2013/10/23
2013/07/14,50.0,1,DKU-znvmej-0001,2013/09/07
2013/07/15,260.0,1,DKU-nvmxvl-0001,2013/10/10
2013/07/15,220.0,2,DKU-mcb2lr-0001,2013/10/16
2013/07/15,90.0,3,DKU-swqk22-0001,2013/11/04
2013/07/15,50.0,1,DKU-78492s-0001,2013/12/19
2013/07/15,65.0,2,DKU-o7a1zb-0001,2013/09/22
2013/07/16,50.0,3,DKU-kmqicf-0001,2013/10/02
2013/07/17,205.0,1,DKU-d7e1n9-0001,2013/10/26
2013/07/17,195.0,1,DKU-4n4m6j-0001,2013/10/11
2013/07/17,65.0,3,DKU-3fvrsr-0001,2013/09/27
2013/07/17,85.0,3,DKU-taosac-0001,2013/09/20
2013/07/18,120.0,1,DKU-r37cnr-0001,2013/10/07
2013/07/18,65.0,2,DKU-9qzz6s-0001,2013/09/11
2013/07/18,75.0,3,DKU-tkbmka-0001,2013/10/08
2013/07/19,55.0,1,DKU-sm6fl3-0001,2013/11/11
2013/07/20,95.0,2,DKU-87afli-0001,2013/11/13
2013/07/20,55.0,2,DKU-2frq4v-0001,2013/10/06
2013/07/20,80.0,3,DKU-fgfdyq-0001,2013/10/13
2013/07/20,50.0,2,DKU-t7cdi9-0001,2013/11/02
2013/07/20,50.0,2,DKU-rk1xj5-0001,2013/10/06
2013/07/20,135.0,3,DKU-338nu2-0001,2013/11/03
2013/07/20,105.0,2,DKU-xnm8va-0001,2013/10/23
2013/07/23,140.0,2,DKU-901slv-0001,2013/10/15
2013/07/23,65.0,1,DKU-zemwlp-0001,2013/10/02
2013/07/23,115.0,3,DKU-7ixhif-0001,2013/10/23
2013/07/23,90.0,1,DKU-lepfhl-0001,2013/10/12
2013/07/23,70.0,1,DKU-oqmwpe-0001,2013/10/31
2013/07/23,50.0,3,DKU-mbr26t-0001,2013/11/16
2013/07/24,55.0,1,DKU-jnu3ld-0001,2013/10/11
2013/07/26,50.0,3,DKU-2ujbyw-0001,2013/10/20
2013/07/26,50.0,2,DKU-it83qz-0001,2013/10/03
2013/07/27,50.0,1,DKU-k5mf1c-0001,2013/11/15
2013/07/27,75.0,3,DKU-6t7lq8-0001,2013/11/07
2013/08/01,75.0,2,DKU-28yore-0001,2013/11/14
2013/08/01,180.0,3,DKU-ek5v3t-0001,2013/10/16
2013/08/01,240.0,3,DKU-jzjhx4-0001,2013/12/21
2013/08/04,80.0,2,DKU-bbafbk-0001,2013/11/17
2013/08/05,55.0,3,DKU-38wibt-0001,2013/10/20
2013/08/06,105.0,1,DKU-co972j-0001,2013/11/07
2013/08/07,95.0,1,DKU-atsqus-0001,2013/12/05
2013/08/07,65.0,1,DKU-6jrc37-0001,2013/10/05
2013/08/08,85.0,1,DKU-7s0qsy-0001,2013/12/02
2013/08/08,110.0,2,DKU-grbxe1-0001,2013/12/02
2013/08/08,95.0,1,DKU-08wfvy-0001,2013/11/19
2013/08/09,65.0,2,DKU-q5uzpa-0001,2013/11/26
2013/08/09,80.0,1,DKU-wpwbxg-0001,2013/10/24
2013/08/10,150.0,3,DKU-x1gw9p-0001,2013/12/11
2013/08/10,70.0,2,DKU-cjks1h-0001,2013/10/27
2013/08/10,100.0,2,DKU-xjdm75-0001,2013/11/29
2013/08/10,55.0,3,DKU-cxy7fm-0001,2013/11/13
2013/08/11,65.0,2,DKU-ddjys2-0001,2013/10/27
2013/08/11,130.0,1,DKU-3unru4-0001,2013/12/09
2013/08/12,125.0,3,DKU-bkoev1-0001,2013/11/12
2013/08/12,70.0,3,DKU-uy6rnq-0001,2013/10/23
2013/08/12,75.0,1,DKU-4l3jc5-0001,2013/11/11
2013/08/12,310.0,3,DKU-i01pkt-0001,2013/12/23
2013/08/13,50.0,2,DKU-rv2t2j-0001,2013/11/29
2013/08/13,125.0,3,DKU-bwvvyj-0001,2013/11/05
2013/08/14,165.0,1,DKU-i6iwy5-0001,2013/12/11
2013/08/14,50.0,1,DKU-cxg5mm-0001,2013/11/26
2013/08/14,155.0,2,DKU-2umnhr-0001,2013/11/25
2013/08/15,50.0,3,DKU-wf2b3k-0001,2013/10/10
2013/08/15,105.0,2,DKU-xu1l10-0001,2013/11/23
2013/08/15,90.0,3,DKU-k2gptk-0001,2013/11/24
2013/08/15,110.0,3,DKU-jng4cr-0001,2013/11/21
2013/08/16,265.0,3,DKU-fur0zm-0001,2013/12/15
2013/08/16,65.0,3,DKU-uzhaen-0001,2013/12/04
2013/08/17,130.0,1,DKU-305rtg-0001,2013/11/23
2013/08/17,265.0,3,DKU-042acv-0001,2013/12/08
2013/08/18,180.0,3,DKU-oabhcm-0001,2013/12/02
2013/08/19,75.0,2,DKU-c3asix-0001,2013/11/14
2013/08/19,120.0,3,DKU-hnhd95-0001,2013/10/28
2013/08/19,50.0,1,DKU-y5rw4u-0001,2013/11/03
2013/08/20,55.0,2,DKU-0f1dij-0001,2013/11/26
2013/08/22,170.0,3,DKU-jswxv1-0001,2013/11/22
2013/08/23,95.0,2,DKU-h7ty4k-0001,2013/12/04
2013/08/24,50.0,3,DKU-tcqyjy-0001,2013/11/20
2013/08/24,55.0,2,DKU-h8pi6l-0001,2013/12/01
2013/08/24,135.0,3,DKU-eqqiq0-0001,2013/11/11
2013/08/24,240.0,3,DKU-700r28-0001,2013/12/13
2013/08/24,50.0,2,DKU-fbiv60-0001,2013/11/04
2013/08/24,65.0,3,DKU-h40ap3-0001,2013/12/01
2013/08/25,70.0,2,DKU-q48ni4-0001,2013/12/02
2013/08/25,120.0,3,DKU-uyug7e-0001,2013/12/05
2013/08/26,255.0,1,DKU-bzxb2u-0001,2013/11/03
2013/08/28,140.0,2,DKU-n2u86n-0001,2013/12/11
2013/08/28,60.0,3,DKU-ubhx5z-0001,2013/12/04
2013/09/02,50.0,2,DKU-m2cokt-0001,2013/12/20
2013/09/02,155.0,2,DKU-9tjhp2-0001,2013/11/30
